2025-04-16_09-22-16,000%,shell.go:2025-04-16_09-22-16
2025-04-16_09-32-21,000%,shell.go:2025-04-16_09-32-21
2025-04-16_09-33-29,000%,shell.go:2025-04-16_09-33-29
2025-04-16_09-34-05,000%,shell.go:2025-04-16_09-34-05
2025-04-16_09-34-37,000%,shell.go:2025-04-16_09-34-37
2025-04-18_17-37-20,000%,shell.go:2025-04-18_17-37-20
2025-04-18_17-37-47,000%,shell.go:2025-04-18_17-37-20
2025-04-18_17-38-17,000%,shell.go:2025-04-18_17-38-17
2025-04-18_17-38-25,000%,shell.go:2025-04-18_17-38-17
2025-04-18_17-39-13,000%,shell.go:2025-04-18_17-39-13
2025-04-18_17-39-15,000%,shell.go:2025-04-18_17-39-13
2025-04-18_17-39-43,000%,shell.go:2025-04-18_17-39-43
2025-04-18_17-39-44,000%,shell.go:2025-04-18_17-39-43
2025-04-18_17-41-11,000%,shell.go:2025-04-18_17-41-11
2025-04-18_17-41-17,000%,shell.go:2025-04-18_17-41-11
2025-04-18_17-42-12,000%,shell.go:2025-04-18_17-42-12
2025-04-18_17-43-28,000%,shell.go:2025-04-18_17-43-28
2025-04-18_17-43-30,000%,shell.go:2025-04-18_17-43-28
2025-04-18_17-43-32,000%,shell.go:2025-04-18_17-43-28
2025-04-18_17-44-44,000%,shell.go:2025-04-18_17-43-28
2025-04-18_17-44-45,000%,shell.go:2025-04-18_17-43-28
2025-04-18_17-45-50,000%,shell.go:2025-04-18_17-45-50
2025-04-18_17-49-38,000%,shell.go:2025-04-18_17-49-38
2025-04-18_17-49-40,000%,shell.go:2025-04-18_17-49-38
2025-04-18_17-49-42,000%,shell.go:2025-04-18_17-49-38
2025-04-18_18-05-09,000%,shell.go:2025-04-18_18-05-09
2025-04-18_18-05-17,000%,shell.go:2025-04-18_18-05-09
2025-04-18_18-08-12,000%,shell.go:2025-04-18_18-08-12
2025-04-18_18-12-29,000%,shell.go:2025-04-18_18-12-29
2025-04-18_18-12-45,014%,shell.go:2025-04-18_18-12-45
2025-04-18_18-22-04,014%,shell.go:2025-04-18_18-22-04
2025-04-18_18-23-21,014%,shell.go:2025-04-18_18-23-21
2025-04-18_18-25-20,014%,shell.go:2025-04-18_18-25-20
2025-04-18_18-26-10,014%,shell.go:2025-04-18_18-26-10
2025-04-18_18-26-27,Execução Livre,shell.go:2025-04-18_18-26-10
2025-04-18_18-29-36,014%,shell.go:2025-04-18_18-29-36
2025-04-18_18-30-29,014%,shell.go:2025-04-18_18-30-29
2025-04-18_18-32-54,014%,shell.go:2025-04-18_18-32-54
2025-04-18_18-37-08,028%,shell.go:2025-04-18_18-37-08
2025-04-18_18-49-40,028%,shell.go:2025-04-18_18-49-40
2025-04-18_18-57-54,028%,shell.go:2025-04-18_18-57-54
2025-04-18_19-02-13,028%,shell.go:2025-04-18_19-02-13
2025-04-18_19-02-34,028%,shell.go:2025-04-18_19-02-34
2025-04-18_19-03-17,028%,shell.go:2025-04-18_19-03-17
2025-04-18_19-03-42,028%,shell.go:2025-04-18_19-03-42
2025-04-18_19-04-03,028%,shell.go:2025-04-18_19-04-03
2025-04-20_09-19-35,042%,shell.go:2025-04-20_09-19-35
2025-04-20_09-27-39,057%,shell.go:2025-04-20_09-27-39
2025-04-20_09-31-27,057%,shell.go:2025-04-20_09-31-27
2025-04-20_09-35-19,057%,shell.go:2025-04-20_09-35-19
2025-04-20_09-35-50,057%,shell.go:2025-04-20_09-35-50
2025-04-20_09-36-13,057%,shell.go:2025-04-20_09-36-13
2025-04-20_09-37-51,057%,shell.go:2025-04-20_09-37-51
2025-04-20_09-38-12,057%,shell.go:2025-04-20_09-38-12
2025-04-20_09-39-27,057%,shell.go:2025-04-20_09-39-27
2025-04-20_09-39-45,057%,shell.go:2025-04-20_09-39-45
2025-04-20_09-40-01,057%,shell.go:2025-04-20_09-40-01
2025-04-20_09-40-02,057%,shell.go:2025-04-20_09-40-01
2025-04-20_09-41-11,057%,shell.go:2025-04-20_09-41-11
2025-04-20_09-41-29,057%,shell.go:2025-04-20_09-41-29
2025-04-20_09-41-52,057%,shell.go:2025-04-20_09-41-52
2025-04-20_09-42-15,057%,shell.go:2025-04-20_09-42-15
2025-04-20_09-42-30,071%,shell.go:2025-04-20_09-42-30
2025-04-20_09-59-02,085%,shell.go:2025-04-20_09-59-02
2025-04-20_09-59-49,100%,shell.go:2025-04-20_09-59-49
2025-04-23_10-56-21,100%,shell.go:2025-04-20_09-59-49
